Ticker,Shares
SO,785.8008867760223
T.TO,5488.455061120541
PEP,479.1909203361329
COST,78.07309534889116
RY.TO,464.98488133641894
AW.TO,2637.817141848911
SAP.TO,2555.57487133516
EXE.TO,4800.751215134974
TD.TO,853.6034668587088
TD,849.8402237441421
